
> @once-ui-system/magic-portfolio@1.3.0 start /app
> serve out

 INFO  Accepting connections at http://localhost:3000
 HTTP  1/13/2026 7:08:43 PM ::1 GET /blog
 HTTP  1/13/2026 7:08:43 PM ::1 GET /_next/image?url=%2Fimages%2Fprojects%2Faesir-rocket-project%2Frocket.avif&w=128&q=75
 HTTP  1/13/2026 7:08:43 PM ::1 GET /_next/image?url=%2Fimages%2Fmy_profile.avif&w=32&q=75
 HTTP  1/13/2026 7:08:43 PM ::1 GET /_next/image?url=%2Fimages%2Femil.avif&w=32&q=75
 HTTP  1/13/2026 7:08:43 PM ::1 GET /_next/image?url=%2Fimages%2Flinab.avif&w=32&q=75
 HTTP  1/13/2026 7:08:43 PM ::1 GET /_next/image?url=%2Fimages%2Fjohanss7.avif&w=32&q=75
 HTTP  1/13/2026 7:08:43 PM ::1 GET /publications
 HTTP  1/13/2026 7:08:43 PM ::1 GET /work
 HTTP  1/13/2026 7:08:43 PM ::1 Returned 206 in 40 ms
 HTTP  1/13/2026 7:08:43 PM ::1 Returned 206 in 10 ms
 HTTP  1/13/2026 7:08:43 PM ::1 Returned 206 in 86 ms
 HTTP  1/13/2026 7:08:43 PM ::1 Returned 404 in 53 ms
 HTTP  1/13/2026 7:08:43 PM ::1 Returned 404 in 40 ms
 HTTP  1/13/2026 7:08:43 PM ::1 Returned 404 in 44 ms
 HTTP  1/13/2026 7:08:43 PM ::1 Returned 404 in 44 ms
 HTTP  1/13/2026 7:08:43 PM ::1 Returned 404 in 46 ms
 HTTP  1/13/2026 7:08:43 PM ::1 Returned 404 in 42 ms
 HTTP  1/13/2026 7:08:43 PM ::1 GET /blog/__next._tree.txt?_rsc=3h8go
 HTTP  1/13/2026 7:08:43 PM ::1 Returned 206 in 74 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /blog/foamflask_post_1/__next._tree.txt?_rsc=3h8go
 HTTP  1/13/2026 7:08:43 PM ::1 Returned 200 in 67 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /work/__next._tree.txt?_rsc=3h8go
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 30 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /publications/__next._tree.txt?_rsc=3h8go
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 22 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 19 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /about
 HTTP  1/13/2026 7:08:44 PM ::1 GET /blog
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 206 in 18 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 206 in 31 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /_next/static/chunks/8733659faaaeef3b.css
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 8 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /publications
 HTTP  1/13/2026 7:08:44 PM ::1 GET /work
 HTTP  1/13/2026 7:08:44 PM ::1 GET /about
 HTTP  1/13/2026 7:08:44 PM ::1 GET /_next/image?url=%2Fimages%2Fprojects%2Fmars-mission%2Folympus_mons.avif&w=1080&q=75
 HTTP  1/13/2026 7:08:44 PM ::1 GET /_next/image?url=%2Fimages%2Fprojects%2Fbiking-in-stockholm%2F1.avif&w=1080&q=75
 HTTP  1/13/2026 7:08:44 PM ::1 GET /_next/image?url=%2Fimages%2Fprojects%2Fbiking-in-stockholm%2F1.avif&w=128&q=75
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 206 in 12 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 206 in 17 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 206 in 9 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /_next/static/chunks/2fe037e916426b09.css
 HTTP  1/13/2026 7:08:44 PM ::1 GET /blog/foamflask_post_1/__next._head.txt?_rsc=wydan
 HTTP  1/13/2026 7:08:44 PM ::1 GET /
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 404 in 29 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 13 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 206 in 14 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /_next/image?url=%2Fimages%2Fprojects%2Fbiking-in-stockholm%2F2.avif&w=128&q=75
 HTTP  1/13/2026 7:08:44 PM ::1 GET /blog/foamflask_post_1/__next._index.txt?_rsc=1x051
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 404 in 38 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 404 in 38 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /_next/image?url=%2Fimages%2Fnddiamaka.avif&w=32&q=75
 HTTP  1/13/2026 7:08:44 PM ::1 GET /images/icons/g_scholar.avif
 HTTP  1/13/2026 7:08:44 PM ::1 GET /_next/image?url=%2Fimages%2Fstian.avif&w=32&q=75
 HTTP  1/13/2026 7:08:44 PM ::1 GET /images/icons/orcid.avif
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 41 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 404 in 26 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /about/__next._tree.txt?_rsc=3h8go
 HTTP  1/13/2026 7:08:44 PM ::1 GET /__next._tree.txt?_rsc=3h8go
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 32 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 404 in 31 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 404 in 28 ms
